AgeCE,DepthM
1911,44.90670542
1891,51.58755762
1871,57.99144883
1851,64.17602087
1831,70.18322929
1811,76.04448934
1791,81.78151034
1771,87.41199883
1751,92.94841529
1731,98.40119339
1711,103.7778429
1691,109.0847473
1671,114.3266992
1651,119.5076572
1631,124.6308219
1611,129.6987628
1591,134.7136615
1571,139.6773016
1551,144.5911883
1531,149.4566208
1511,154.2747073
1491,159.0464164
1451,168.4540338
1431,173.0914035
1411,177.6853414
1391,182.2364269
1371,186.7452091
1351,191.2121943
1331,195.637865
1311,200.0226825
1291,204.3670864
1271,208.6715017
1231,217.1620001
